CODE,NAME
"253","253"
"13","13"
"342","342"
"316","316"
"107","107"
"104","104"
"119","119"
"19","19"
"290","290"
"151","151"
"21","21"
"276","276"
"137","137"
"293","293"
"181","181"
"155","155"
"116","116"
"217","217"
"301","301"
"93","93"
"25","25"
"84","84"
"179","179"
"152","152"
"169","169"
"187","187"
"312","312"
"92","92"
"194","194"
"334","334"
"41","41"
"176","176"
"60","60"
"91","91"
"215","215"
"67","67"
"277","277"
"43","43"
"141","141"
"95","95"
"195","195"
"147","147"
"235","235"
"42","42"
"166","166"
"294","294"
"201","201"
"317","317"
"175","175"
"330","330"
"162","162"
"49","49"
"159","159"
"121","121"
"115","115"
"126","126"
"83","83"
"171","171"
"64","64"
"291","291"
"327","327"
"245","245"
"150","150"
"149","149"
"78","78"
"131","131"
"254","254"
"273","273"
"197","197"
"262","262"
"50","50"
"266","266"
"285","285"
"68","68"
"211","211"
"88","88"
"190","190"
"29","29"
"232","232"
"203","203"
"76","76"
"243","243"
"31","31"
"246","246"
"145","145"
"236","236"
"48","48"
"170","170"
"208","208"
"231","231"
"199","199"
"274","274"
"133","133"
"177","177"
"320","320"
"261","261"
"258","258"
"198","198"
"311","311"
"123","123"
"1","1"
"87","87"
"51","51"
"10","10"
"223","223"
"279","279"
"33","33"
"351","351"
"333","333"
"214","214"
"122","122"
"134","134"
"250","250"
"332","332"
"58","58"
"3","3"
"18","18"
"153","153"
"59","59"
"163","163"
"256","256"
"337","337"
"136","136"
"324","324"
"340","340"
"183","183"
"89","89"
"82","82"
"336","336"
"26","26"
"168","168"
"117","117"
"114","114"
"73","73"
"130","130"
"216","216"
"284","284"
"196","196"
"259","259"
"158","158"
"257","257"
"146","146"
"348","348"
"299","299"
"188","188"
"52","52"
"209","209"
"238","238"
"148","148"
"305","305"
"343","343"
"185","185"
"346","346"
"154","154"
"283","283"
"100","100"
"70","70"
"345","345"
"94","94"
"218","218"
"178","178"
"224","224"
"8","8"
"260","260"
"186","186"
"11","11"
"302","302"
"39","39"
"124","124"
"97","97"
"289","289"
"206","206"
"144","144"
"310","310"
"240","240"
"222","222"
"318","318"
"286","286"
"96","96"
"269","269"
"23","23"
"56","56"
"315","315"
"326","326"
"219","219"
"24","24"
"292","292"
"164","164"
"132","132"
"85","85"
"167","167"
"138","138"
"275","275"
"75","75"
"32","32"
"225","225"
"105","105"
"264","264"
"90","90"
"17","17"
"14","14"
"57","57"
"135","135"
"184","184"
"36","36"
"349","349"
"103","103"
"81","81"
"221","221"
"228","228"
"309","309"
"237","237"
"111","111"
"108","108"
"338","338"
"69","69"
"112","112"
"233","233"
"34","34"
"230","230"
"303","303"
"265","265"
"255","255"
"65","65"
"202","202"
"157","157"
"182","182"
"272","272"
"344","344"
"247","247"
"2","2"
"44","44"
"341","341"
"30","30"
"329","329"
"72","72"
"139","139"
"323","323"
"12","12"
"15","15"
"120","120"
"244","244"
"205","205"
"118","118"
"127","127"
"296","296"
"268","268"
"308","308"
"80","80"
"99","99"
"79","79"
"140","140"
"27","27"
"9","9"
"98","98"
"106","106"
"63","63"
"288","288"
"263","263"
"339","339"
"210","210"
"189","189"
"61","61"
"173","173"
"229","229"
"212","212"
"161","161"
"4","4"
"287","287"
"281","281"
"249","249"
"71","71"
"40","40"
"322","322"
"300","300"
"125","125"
"280","280"
"234","234"
"86","86"
"239","239"
"270","270"
"313","313"
"193","193"
"20","20"
"200","200"
"172","172"
"252","252"
"101","101"
"226","226"
"66","66"
"271","271"
"267","267"
"55","55"
"37","37"
"45","45"
"109","109"
"242","242"
"22","22"
"113","113"
"47","47"
"6","6"
"74","74"
"192","192"
"174","174"
"331","331"
"102","102"
"321","321"
"306","306"
"297","297"
"251","251"
"7","7"
"28","28"
"347","347"
"295","295"
"213","213"
"319","319"
"314","314"
"278","278"
"54","54"
"62","62"
"298","298"
"248","248"
"142","142"
"156","156"
"128","128"
"180","180"
"38","38"
"204","204"
"165","165"
"350","350"
"16","16"
"160","160"
"143","143"
"282","282"
"241","241"
"307","307"
"220","220"
"335","335"
"207","207"
"35","35"
"46","46"
"191","191"
"227","227"
"53","53"
"129","129"
"77","77"
"304","304"
"328","328"
"110","110"
"325","325"
"5","5"